id,word,pinyin,definition,definition_th,level,example_sentence,example_pinyin
3414,入门,rù mén,to begin learning a subject; introduction; entry-level,เริ่มต้นเรียนรู้วิชาหนึ่ง; การแนะนำ; ระดับเริ่มต้น,5,这本书是学习中文的入门书。,zhè běn shū shì xué xí zhōng wén de rù mén shū.
3415,软件,ruǎn jiàn,software,ซอฟต์แวร์,5,这个软件很好用。,Zhège ruǎnjiàn hěn hǎo yòng.
3416,沙漠,shā mò,desert,ทะเลทราย,5,沙漠里没有水。,shā mò lǐ méi yǒu shuǐ.
3417,杀,shā,"to kill, to murder, to attack, to weaken or reduce, extremely (used after a verb)","ฆ่า, ฆาตกรรม, โจมตี, ทำให้อ่อนแอหรือลดลง, อย่างยิ่ง (ใช้หลังคำกริยา)",5,他杀了一只鸡。,Tā shā le yī zhī jī.
3418,商标,shāng biāo,trademark,เครื่องหมายการค้า,5,这个商标很独特。,Zhè ge shāng biāo hěn dú tè.
3419,扇,"shān, shàn","fan (noun); to fan (verb); classifier for doors, windows, etc.",พัด (คำนาม); พัด (คำกริยา); หน่วยนับสำหรับประตู หน้าต่าง ฯลฯ,5,他扇了扇扇子。,Tā shān le shān shànzi.
3420,上下,shàng xià,up and down; top and bottom; approximately; about (in quantity or age),ขึ้นลง; บนล่าง; ประมาณ; ราว ๆ (ในปริมาณหรืออายุ),5,电梯上下很快。,Diàntī shàng xià hěn kuài.
3421,稍,"shāo, shào","slightly; a little; for a short while (shāo); at ease (military command, shào)","เล็กน้อย; นิดหน่อย; ชั่วครู่ (shāo); ตามสบาย (คำสั่งทหาร, shào)",5,请稍等一下。,Qǐng shāo děng yīxià.
3422,舍得,shě de,to be willing to part with something; to not mind spending or giving up something,เต็มใจที่จะสละสิ่งใดสิ่งหนึ่ง; ไม่รังเกียจที่จะใช้จ่ายหรือเสียสละบางสิ่ง,5,他舍得花钱买书。,tā shě de huā qián mǎi shū.
3423,社,shè,"society, organization, club, agency","สังคม, องค์กร, สโมสร, หน่วยงาน",5,他是我们社的成员。,Tā shì wǒmen shè de chéngyuán.
3424,摄像,shè xiàng,to record video,บันทึกวิดีโอ,5,他正在摄像会议。,tā zhèng zài shè xiàng huì yì.
3425,射,shè,to shoot; to launch; to emit; to project,ยิง; ปล่อย; ฉาย; ส่งออก,5,他射中了靶心。,Tā shè zhòng le bǎ xīn.
3426,伸,shēn,"to stretch, to extend","เหยียด, ยืดออก",5,他伸了伸懒腰。,tā shēn le shēn lānyāo.
3427,深度,shēn dù,depth; profundity; advanced stage of development,ความลึก; ความลึกซึ้ง; ระดับขั้นสูงของการพัฒนา,5,这篇文章很有深度。,zhè piān wénzhāng hěn yǒu shēndù.
3428,神情,shén qíng,facial expression; look; demeanor,สีหน้า; ท่าทาง; การแสดงออกทางสีหน้า,5,他的神情很严肃。,tā de shén qíng hěn yán sù.
3429,深处,shēn chù,depths; deepest or most distant part,ส่วนลึก; ส่วนที่ลึกที่สุดหรือไกลที่สุด,5,森林深处有座小屋。,Sēnlín shēn chù yǒu zuò xiǎo wū.
3430,声,shēng,sound; voice; tone; noise; classifier for sounds,เสียง; เสียงพูด; น้ำเสียง; เสียงรบกวน; หน่วยนับสำหรับเสียง,5,他的声音很温柔。,Tā de shēngyīn hěn wēnróu.
3431,胜负,shèng fù,victory or defeat; the outcome of a contest or competition,ชัยชนะหรือความพ่ายแพ้; ผลลัพธ์ของการแข่งขัน,5,比赛胜负已定。,bǐ sài shèng fù yǐ dìng.
3432,失误,shī wù,"mistake, error, lapse, fault (including in sports)","ความผิดพลาด, ความคลาดเคลื่อน, การทำผิด (รวมถึงในการกีฬา)",5,他比赛中出现了失误。,tā bǐ sài zhōng chū xiàn le shī wù.
3433,师傅,shī fu,master; skilled worker; respectful term for addressing an older man or expert,อาจารย์; ช่างฝีมือ; คำเรียกขานที่แสดงความเคารพต่อผู้ชายที่มีอายุมากกว่าหรือผู้เชี่ยวชาญ,5,师傅教我开车。,Shī fu jiāo wǒ kāi chē.
3434,时机,shí jī,opportune moment; favorable timing,จังหวะที่เหมาะสม; โอกาสที่ดี,5,现在是最好的时机。,xiàn zài shì zuì hǎo de shí jī.
3435,实惠,shí huì,practical benefit; economical; good value for money,ประโยชน์ที่จับต้องได้; มีคุณค่าคุ้มราคา; ประหยัด,5,这家商店的东西很实惠。,Zhè jiā shāngdiàn de dōngxi hěn shíhuì.
3436,示范,shì fàn,to demonstrate; to show how to do something; a demonstration; a model example,สาธิต; แสดงให้เห็นวิธีการ; การสาธิต; ตัวอย่างต้นแบบ,5,老师示范了正确的方法。,lǎo shī shì fàn le zhèng què de fāng fǎ.
3437,试图,shì tú,"to attempt, to try","พยายาม, ลอง",5,他试图解决这个问题。,tā shì tú jiě jué zhè ge wèn tí.
3438,收购,shōu gòu,to acquire; to purchase (especially companies or assets),ซื้อกิจการ; ซื้อ (โดยเฉพาะบริษัทหรือสินทรัพย์),5,公司收购了那家工厂。,Gōngsī shōugòu le nà jiā gōngchǎng.
3439,收拾,shōu shi,"to tidy up, to put in order, to pack, to repair (colloquial), to deal with someone","จัดเก็บให้เป็นระเบียบ, ทำความสะอาด, ซ่อมแซม, จัดการกับใครบางคน",5,我收拾房间很快。,Wǒ shōushi fángjiān hěn kuài.
3440,手法,shǒu fǎ,"technique, method, skill","เทคนิค, วิธีการ, ทักษะ",5,他的绘画手法很独特。,tā de huì huà shǒu fǎ hěn dú tè.
3441,瘦,shòu,thin; lean; slim; (of clothing) tight-fitting; (of land) barren,ผอม; บาง; (เสื้อผ้า) คับ; (ดิน) แห้งแล้ง,5,他最近瘦了很多。,Tā zuìjìn shòu le hěn duō.
3442,视为,shì wéi,to regard as; to consider as; to view as,ถือว่า; มองว่า; พิจารณาว่า,5,他把失败视为学习机会。,tā bǎ shībài shì wéi xuéxí jīhuì.
3443,蔬菜,shū cài,vegetables,ผัก,5,多吃蔬菜对身体好。,duō chī shū cài duì shēn tǐ hǎo.
3444,鼠,shǔ,"rat, mouse",หนู,5,老鼠在厨房里找食物。,Lǎoshǔ zài chúfáng lǐ zhǎo shíwù.
3445,鼠标,shǔ biāo,computer mouse,เมาส์ (อุปกรณ์คอมพิวเตอร์),5,我用鼠标点击电脑屏幕。,Wǒ yòng shǔbiāo diǎnjī diànnǎo píngmù.
3446,数目,shù mù,"number, amount, quantity","จำนวน, ปริมาณ",5,这个数目很大。,zhè ge shù mù hěn dà.
3447,摔倒,shuāi dǎo,to fall down; to slip and fall,ล้มลง; สะดุดล้ม,5,他跑步时不小心摔倒了。,tā pǎo bù shí bù xiǎo xīn shuāi dǎo le.
3448,水产品,shuǐchǎnpǐn,Aquatic products,ผลิตภัณฑ์จากน้ำ (อาหารทะเลและสัตว์น้ำอื่นๆ),5,超市卖很多水产品。,Chāoshì mài hěn duō shuǐchǎnpǐn.
3449,水分,shuǐ fèn,"moisture; water content; (figuratively) exaggeration, padding, overstatement","ความชื้น; ปริมาณน้ำ; (ในเชิงเปรียบเทียบ) การพูดเกินจริง, การเพิ่มเติมข้อมูลที่ไม่จำเป็น",5,这个报告水分太多。,Zhège bàogào shuǐfèn tài duō.
3450,硕士,shuò shì,master's degree; a person who holds a master's degree,ปริญญาโท; ผู้ที่สำเร็จการศึกษาระดับปริญญาโท,5,我姐姐是硕士。,wǒ jiě jie shì shuò shì.
3451,私人,sī rén,private; personal; pertaining to an individual or personal matters,ส่วนตัว; ส่วนบุคคล; ที่เกี่ยวข้องกับบุคคลหรือเรื่องส่วนตัว,5,这是我的私人电话。,zhè shì wǒ de sī rén diàn huà.
3452,搜索,sōu suǒ,"to search, to look up",ค้นหา,5,我在网上搜索信息。,Wǒ zài wǎng shàng sōu suǒ xìn xī.
3453,酸甜苦辣,suān tián kǔ là,"sour, sweet, bitter, spicy; figurative: the joys and sorrows of life",เปรี้ยว หวาน ขม เผ็ด; ในเชิงเปรียบเทียบหมายถึง ความสุขและความทุกข์ในชีวิต,5,生活充满了酸甜苦辣。,Shēnghuó chōngmǎn le suān tián kǔ là.
3454,损害,sǔn hài,"to harm, to damage, to impair","ทำลาย, ทำให้เสียหาย, ทำให้บกพร่อง",5,吸烟损害健康。,xī yān sǔn hài jiàn kāng.
3455,随着,suí zhe,along with; following; as something happens,ตาม; ไปพร้อมกับ; ในขณะที่บางสิ่งเกิดขึ้น,5,随着时间过去，我明白了。,"Suízhe shíjiān guòqù, wǒ míngbái le."
3456,所在,suǒ zài,location; place; whereabouts; where something is located,สถานที่; ที่ตั้ง; ตำแหน่งที่ตั้ง; สถานที่ที่อยู่,5,学校所在的地方很安静。,Xuéxiào suǒ zài de dìfāng hěn ānjìng.
3457,太空,tài kōng,outer space,อวกาศ,5,太空中有很多星星。,Tài kōng zhōng yǒu hěn duō xīng xing.
3458,抬头,tái tóu,to raise one's head; to look up; also used figuratively for gaining ground or as a space for writing names on documents,เงยหน้าขึ้น; มองขึ้น; ใช้ในเชิงเปรียบเทียบหมายถึงได้เปรียบหรือเป็นพื้นที่สำหรับเขียนชื่อในเอกสาร,5,他抬头看了看天空。,tā tái tóu kàn le kàn tiān kōng.
3459,弹,"dàn, tán",to play (a string instrument); to pluck; to spring; to shoot; to flick; elastic,ดีด (เครื่องดนตรี); ดึง; ดีด; ยิง; สปริง; ยืดหยุ่น,5,他会弹钢琴。,Tā huì tán gāngqín.
3460,桃花,táohuā,Peach blossom,ดอกท้อ,5,春天桃花开了。,Chūntiān táohuā kāi le.
3461,特有,tè yǒu,unique to; characteristic of; specific to,เฉพาะเจาะจง; เป็นลักษณะเฉพาะของ; มีเฉพาะใน,5,熊猫是中国的特有动物。,xióng māo shì zhōng guó de tè yǒu dòng wù.
3462,特定,tè dìng,"specific, designated, particular","เฉพาะเจาะจง, ที่กำหนดไว้เป็นพิเศษ",5,这个活动有特定要求。,Zhège huódòng yǒu tèdìng yāoqiú.
3463,提起,tí qǐ,to mention; to bring up (a topic); to lift; to pick up,พูดถึง; ยกขึ้น; หยิบขึ้น,5,提起这件事，我就生气。,"tí qǐ zhè jiàn shì, wǒ jiù shēng qì."
3464,天然气,tiān rán qì,natural gas,ก๊าซธรรมชาติ,5,天然气是一种清洁能源。,tiān rán qì shì yī zhǒng qīng jié néng yuán.
3465,体力,tǐ lì,physical strength; stamina,กำลังกาย; พลังกาย,5,他每天锻炼体力。,tā měi tiān duàn liàn tǐ lì.
3466,厅,tīng,"hall, living room, office, provincial government department","ห้องโถง, ห้องนั่งเล่น, สำนักงาน, กรมในระดับจังหวัด",5,客厅里有一张桌子。,kè tīng lǐ yǒu yī zhāng zhuō zi.
3467,调节,tiáo jié,to adjust; to regulate; to harmonize,ปรับ; ควบคุม; ทำให้สมดุล,5,我们需要调节室内温度。,Wǒmen xūyào tiáojié shìnèi wēndù.
3468,偷偷,tōu tōu,"secretly, stealthily, furtively","อย่างลับๆ, อย่างแอบๆ, อย่างลอบๆ",5,他偷偷地离开了房间。,Tā tōu tōu de lí kāi le fáng jiān.
3469,突破,tū pò,to break through; to make a breakthrough; to overcome (obstacles or limitations),ทำลายผ่าน; ก้าวข้าม; ประสบความสำเร็จอย่างก้าวกระโดด,5,他的研究取得了重大突破。,Tā de yánjiū qǔdé le zhòngdà tūpò.
3470,脱离,tuō lí,to break away from; to separate oneself from; to detach from,แยกตัวออก; หลุดพ้น; ปลดปล่อยจาก,5,他脱离了危险的环境。,tā tuō lí le wēi xiǎn de huán jìng.
3471,微博,wēi bó,"microblog, Weibo (Chinese social media platform)","ไมโครบล็อก, เวย์ปั๋ว (แพลตฟอร์มโซเชียลมีเดียจีน)",5,我经常看微博。,wǒ jīng cháng kàn wēi bó.
3472,为难,wéi nán,to feel embarrassed or awkward; to make things difficult for someone; to find something difficult to do,รู้สึกอึดอัดหรือลำบากใจ; ทำให้ผู้อื่นลำบากใจหรือยากลำบาก; พบว่าสิ่งใดสิ่งหนึ่งทำได้ยาก,5,别为难他了。,Bié wéi nán tā le.
3473,围绕,wéi rào,to revolve around; to center on,หมุนรอบ; จับประเด็น,5,大家围绕这个问题讨论。,Dàjiā wéi rào zhège wèntí tǎolùn.
3474,委托,wěi tuō,to entrust; to commission,มอบหมาย; ไว้วางใจให้ทำแทน,5,我委托他处理这件事。,wǒ wěi tuō tā chǔ lǐ zhè jiàn shì.
3475,污染,wū rǎn,pollution; contamination,มลพิษ; การปนเปื้อน,5,空气污染很严重。,kōng qì wū rǎn hěn yán zhòng.
3476,无奈,wú nài,helpless; having no choice; reluctantly,หมดทางเลือก; ไม่มีทางอื่น; อย่างจำใจ,5,他无奈地接受了结果。,tā wú nài de jiē shòu le jié guǒ.
3477,唯一,wéi yī,"only, sole, unique","เพียงหนึ่งเดียว, เดี่ยว, เฉพาะ",5,这是我唯一的机会。,Zhè shì wǒ wéi yī de jī huì.
3478,卫星,wèi xīng,satellite,ดาวเทียม,5,卫星围绕地球转。,wèi xīng wéi rào dì qiú zhuǎn.
3479,为主,wéi zhǔ,to be the main focus; to prioritize; to take as primary,ให้ความสำคัญเป็นหลัก; ให้เป็นสิ่งสำคัญที่สุด,5,我们以合作为主。,Wǒmen yǐ hézuò wéi zhǔ.
3480,胃,wèi,stomach,กระเพาะอาหาร,5,我的胃不舒服。,Wǒ de wèi bù shūfu.
3481,温和,"wēn hé, wēn huo","mild, gentle, temperate","อ่อนโยน, อ่อนหวาน, อบอุ่น",5,天气温和，适合散步。,"Tiānqì wēnhé, shìhé sànbù."
3482,慰问,wèi wèn,"to express sympathy, greetings, or consolation",แสดงความเห็นใจหรือปลอบใจ,5,我们慰问受灾的居民。,wǒ men wèi wèn shòu zāi de jū mín.
3483,污水,wū shuǐ,"sewage, wastewater",น้ำเสีย,5,污水需要处理。,wū shuǐ xū yào chǔ lǐ.
3484,握,wò,to hold; to grasp; to clench (one's fist); to master,จับ; กุม; กำ; คว้า; ควบคุม,5,他紧紧握着我的手。,tā jǐn jǐn wò zhe wǒ de shǒu.
3485,文艺,wén yì,literature and art; cultural and artistic activities,วรรณกรรมและศิลปะ; กิจกรรมทางวัฒนธรรมและศิลปะ,5,他喜欢文艺表演。,tā xǐ huān wén yì biǎo yǎn.
3486,卧室,wò shì,bedroom,ห้องนอน,5,我的卧室很干净。,Wǒ de wòshì hěn gānjìng.
3487,舞,wǔ,to dance; to wield; to brandish,เต้นรำ; ใช้; แกว่ง,5,她在舞台上跳舞。,Tā zài wǔtái shàng tiàowǔ.
3488,无疑,wú yí,undoubtedly; without doubt,อย่างไม่ต้องสงสัย; แน่นอน,5,这无疑是个好消息。,Zhè wú yí shì gè hǎo xiāo xi.
3489,物价,wù jià,commodity prices,ราคาสินค้า,5,物价上涨影响生活。,wù jià shàng zhǎng yǐng xiǎng shēng huó.
3490,屋,wū,"house, room","บ้าน, ห้อง",5,我的屋子很干净。,Wǒ de wūzi hěn gānjìng.
3491,物业,wù yè,property management; real estate (especially residential properties and their management),การจัดการทรัพย์สิน; อสังหาริมทรัพย์ (โดยเฉพาะอสังหาริมทรัพย์ที่อยู่อาศัยและการจัดการ),5,我们小区物业很好。,wǒ men xiǎo qū wù yè hěn hǎo.
3492,物质,wù zhì,material; substance; matter; physical things,วัตถุ; สสาร; สิ่งของทางกายภาพ,5,物质生活很重要。,wù zhì shēng huó hěn zhòng yào.
3493,误解,wù jiě,To misunderstand; a misunderstanding.,เข้าใจผิด; ความเข้าใจผิด,5,别误解他的意思。,Bié wù jiě tā de yì si.
3494,西红柿,xī hóng shì,tomato,มะเขือเทศ,5,我喜欢吃西红柿炒鸡蛋。,Wǒ xǐhuān chī xīhóngshì chǎo jīdàn.
3495,喜剧,xǐ jù,comedy,ละครตลก,5,我喜欢看喜剧电影。,Wǒ xǐhuān kàn xǐjù diànyǐng.
3496,西装,xī zhuāng,Western-style suit (formal attire),ชุดสูทแบบตะวันตก (เสื้อผ้าทางการ),5,他穿西装很帅。,Tā chuān xīzhuāng hěn shuài.
3497,戏,xì,"play, game, drama, show; to play, to joke","ละคร, การแสดง, การเล่น, เกม; เล่น, ล้อเล่น",5,孩子们在公园里做游戏。,hái zi men zài gōng yuán lǐ zuò yóu xì.
3498,戏剧,xì jù,drama; theater; play,ละคร; การแสดงละคร,5,我喜欢看戏剧表演。,Wǒ xǐhuān kàn xìjù biǎoyǎn.
3499,吓,"hè, xià",To frighten or scare someone; to intimidate or threaten.,ทำให้ตกใจหรือกลัว; ข่มขู่หรือคุกคาม,5,别吓我，我害怕。,"Bié xià wǒ, wǒ hài pà."
3500,带有,dài yǒu,"to have, to carry, to involve","มี, พกพา, เกี่ยวข้อง",5,这个计划带有风险。,Zhège jìhuà dài yǒu fēngxiǎn.
3501,回信,huí xìn,to reply to a letter; a written reply,ตอบจดหมาย; จดหมายตอบกลับ,5,我还没收到他的回信。,Wǒ hái méi shōu dào tā de huí xìn.
3502,回头,huí tóu,to turn one's head; to look back; later; in a while,หันกลับ; มองกลับ; ภายหลัง; อีกสักครู่,5,他回头看了看我。,tā huí tóu kàn le kàn wǒ.
3503,恢复,huī fù,"to recover, to restore, to resume","ฟื้นฟู, คืนสภาพ, หายดี",5,他的健康恢复了。,tā de jiàn kāng huī fù le.
3504,汇款,huì kuǎn,to remit money; remittance,การโอนเงิน; การส่งเงิน,5,我通过银行汇款。,wǒ tōng guò yín háng huì kuǎn.
3505,活力,huó lì,"vitality, energy, vigor","พลังชีวิต, ความมีชีวิตชีวา, ความกระตือรือร้น",5,年轻人充满活力。,nián qīng rén chōng mǎn huó lì.
3506,会谈,huì tán,"talks, discussions, negotiations","การเจรจา, การหารือ",5,两国领导人举行了会谈。,liǎng guó lǐng dǎo rén jǔ xíng le huì tán.
3507,活泼,huó po,"lively, vivacious, energetic",ร่าเริง มีชีวิตชีวา คึกคัก,5,这个孩子很活泼。,zhè ge hái zi hěn huó po.
3508,进化,jìn huà,evolution,วิวัฒนาการ,5,人类一直在进化。,Rénlèi yīzhí zài jìnhuà.
3509,随后,suí hòu,soon after; immediately after; subsequently,หลังจากนั้นไม่นาน; ทันทีหลังจากนั้น,5,他先走，我随后到。,"tā xiān zǒu, wǒ suí hòu dào."
3510,信箱,xìn xiāng,mailbox; letter box,ตู้จดหมาย; ตู้ไปรษณีย์,5,我的信箱里有一封信。,Wǒ de xìn xiāng li yǒu yī fēng xìn.
3511,行驶,xíng shǐ,to travel; to move (of vehicles),เดินทาง; เคลื่อนที่ (สำหรับยานพาหนะ),5,汽车在高速公路上行驶。,qì chē zài gāo sù gōng lù shàng xíng shǐ.
3512,信念,xìn niàn,belief; faith; conviction,ความเชื่อมั่น; ความศรัทธา; ความเชื่อ,5,他的信念很坚定。,Tā de xìnniàn hěn jiāndìng.
3513,形态,xíng tài,form; shape; morphology; configuration,รูปร่าง; รูปแบบ; สภาพ; ลักษณะ,5,这种形态很特别。,zhè zhǒng xíng tài hěn tè bié.
3514,性能,xìng néng,"performance; capability; function (especially of machines, devices, or systems)",สมรรถนะ; ความสามารถ; การทำงาน (โดยเฉพาะของเครื่องจักร อุปกรณ์ หรือระบบ),5,这台电脑性能很好。,Zhè tái diànnǎo xìngnéng hěn hǎo.
3515,雄伟,xióng wěi,"grand, magnificent, majestic (describing large-scale, impressive things like buildings, mountains, or scenery)","ยิ่งใหญ่, สง่างาม, หรูหรา (ใช้บรรยายสิ่งที่มีขนาดใหญ่และน่าประทับใจ เช่น อาคาร, ภูเขา, หรือทิวทัศน์)",5,这座建筑很雄伟。,Zhè zuò jiànzhù hěn xióngwěi.
3516,熊,"Xióng, xióng",bear (animal),หมี (สัตว์),5,那只熊很可爱。,Nà zhī xióng hěn kě'ài.
3517,休闲,xiū xián,leisure; relaxation; recreational,การพักผ่อน; การผ่อนคลาย; สันทนาการ,5,周末我喜欢休闲活动。,zhōu mò wǒ xǐ huān xiū xián huó dòng.
3518,修复,xiū fù,to repair; to restore; to fix,ซ่อมแซม; ฟื้นฟู; ซ่อมบำรุง,5,修复损坏的电脑。,xiū fù sǔn huài de diàn nǎo.
3519,修养,xiū yǎng,Cultivation; refinement; self-cultivation; moral and cultural accomplishment.,การอบรมบ่มนิสัย; ความประณีต; การพัฒนาตนเองทางด้านคุณธรรมและวัฒนธรรม,5,他有很好的修养。,Tā yǒu hěn hǎo de xiū yǎng.
3520,修建,xiū jiàn,"to build, construct, or erect (typically referring to buildings, bridges, roads, etc.)","สร้าง, ก่อสร้าง (มักใช้กับสิ่งก่อสร้าง เช่น อาคาร สะพาน ถนน)",5,他们在修建一座新桥。,Tāmen zài xiū jiàn yí zuò xīn qiáo.
3521,虚心,xū xīn,modest; open-minded; willing to learn,ถ่อมตน; ยินดีรับฟังความคิดเห็นของผู้อื่น; เปิดใจรับการเรียนรู้,5,他虚心向老师请教。,tā xū xīn xiàng lǎo shī qǐng jiào.
3522,选修,xuǎn xiū,to take an elective course,เลือกเรียนวิชาเลือก,5,我选修了中文课。,Wǒ xuǎnxiū le zhōngwén kè.
3523,学科,xué kē,academic subject; discipline,วิชา; สาขาวิชา,5,我喜欢这个学科。,wǒ xǐ huān zhè ge xué kē.
3524,学位,xué wèi,academic degree,ปริญญา (การศึกษา),5,他获得了博士学位。,tā huò dé le bó shì xué wèi.
3525,寻求,xún qiú,"to seek, to look for, to pursue","แสวงหา, ค้นหา, พยายามหา",5,他正在寻求帮助。,tā zhèng zài xún qiú bāng zhù.
3526,学者,xué zhě,scholar; academic,นักวิชาการ; นักปราชญ์,5,这位学者研究中国文化。,Zhè wèi xué zhě yán jiū Zhōng guó wén huà.
3527,许可,xǔ kě,permission; approval; consent,การอนุญาต; การอนุมัติ; การยินยอม,5,需要得到许可才能进入。,Xūyào dédào xǔkě cáinéng jìnrù.
3528,押金,yā jīn,"A deposit or security money paid in advance, typically refundable upon fulfilling certain conditions.",เงินประกันหรือเงินมัดจำที่จ่ายล่วงหน้า โดยทั่วไปจะได้รับคืนเมื่อปฏิบัติตามเงื่อนไขบางประการ,5,租房需要交押金。,zū fáng xū yào jiāo yā jīn.
3529,询问,xún wèn,to inquire; to ask about,สอบถาม; ถามหา,5,他询问我的意见。,tā xún wèn wǒ de yì jiàn.
3530,延伸,yán shēn,to extend; to stretch; to prolong,ยืดออกไป; ขยายออกไป; ทำให้ยาวออกไป,5,这条道路延伸到海边。,Zhè tiáo dàolù yánshēn dào hǎibiān.
3531,亚军,yà jūn,runner-up; second place (in a competition),รองชนะเลิศ; อันดับสอง (ในการแข่งขัน),5,他获得了亚军。,Tā huòdé le yà jūn.
3532,鸭子,yā zi,duck (the bird),เป็ด (สัตว์ปีก),5,湖里有几只鸭子。,Hú li yǒu jǐ zhī yā zi.
3533,严厉,yán lì,strict; severe; stern,เข้มงวด; รุนแรง; เคร่งครัด,5,老师对学生很严厉。,lǎo shī duì xué sheng hěn yán lì.
3534,严肃,yán sù,serious; solemn; strict,จริงจัง; เคร่งขรึม; เข้มงวด,5,他的表情很严肃。,tā de biǎo qíng hěn yán sù.
3535,言语,"yán yǔ, yán yu","speech, language, words (as spoken or written expression)","คำพูด, ภาษา, ถ้อยคำ (ที่พูดหรือเขียน)",5,他的言语很真诚。,tā de yán yǔ hěn zhēn chéng.
3536,研究所,yán jiū suǒ,research institute,สถาบันวิจัย,5,他在研究所工作。,Tā zài yán jiū suǒ gōng zuò.
3537,邀请,yāo qǐng,to invite; invitation,เชิญ; การเชิญ,5,他邀请我参加聚会。,tā yāo qǐng wǒ cān jiā jù huì.
3538,眼光,yǎn guāng,"vision, insight, perspective, or way of looking at things","วิสัยทัศน์, ความคิดเห็น, มุมมอง, หรือวิธีมองสิ่งต่าง ๆ",5,他的眼光很独特。,tā de yǎn guāng hěn dú tè.
3539,摇头,yáo tóu,"to shake one's head (indicating disagreement, disapproval, or disbelief)",ส่ายหัว (แสดงความไม่เห็นด้วย ไม่ยอมรับ หรือไม่เชื่อ),5,他摇头表示不同意。,Tā yáo tóu biǎoshì bù tóngyì.
3540,也好,yěhǎo,"Used to express that either option is acceptable, often in the pattern ""...也好，...也好"" meaning ""whether... or..., it's fine"".","ใช้แสดงว่าทางเลือกใดก็ได้ มักใช้ในรูปแบบ ""...也好，...也好"" หมายถึง ""ไม่ว่าจะ...หรือ...ก็ได้""",5,你去也好，不去也好。,"Nǐ qù yěhǎo, bù qù yěhǎo."
3541,咬,yǎo,to bite,กัด,5,小狗咬了我的手。,Xiǎo gǒu yǎo le wǒ de shǒu.
3542,业务,yè wù,business; professional work; operations,ธุรกิจ; งานอาชีพ; การดำเนินงาน,5,他的业务很忙。,tā de yè wù hěn máng.
3543,夜间,yè jiān,nighttime; during the night,เวลากลางคืน; ในเวลากลางคืน,5,夜间开车要小心。,yè jiān kāi chē yào xiǎo xīn.
3544,依法,yī fǎ,according to the law; in accordance with the law,ตามกฎหมาย; ตามที่กฎหมายกำหนด,5,我们必须依法办事。,Wǒmen bìxū yī fǎ bànshì.
3545,一流,yī liú,first-class; top-notch; first-rate,ชั้นหนึ่ง; ยอดเยี่ยม; ดีที่สุด,5,这家餐厅是一流的。,Zhè jiā cāntīng shì yī liú de.
3546,依据,yī jù,basis; foundation; grounds; evidence; according to,พื้นฐาน; หลักฐาน; ข้ออ้างอิง; ตาม; อาศัย,5,这个决定有法律依据。,Zhège juédìng yǒu fǎlǜ yījù.
3547,依旧,yī jiù,still; as before; unchanged,ยังคง; เหมือนเดิม; ไม่เปลี่ยนแปลง,5,他依旧很忙。,Tā yījiù hěn máng.
3548,安慰,ānwèi,To comfort or console someone,ปลอบใจหรือให้กำลังใจ,5,朋友安慰了我。,Péngyǒu ānwèi le wǒ.
3549,岸上,àn shàng,on the shore/bank,บนฝั่ง,5,孩子们在岸上玩耍。,Háizimen zài àn shàng wánshuǎ.
3550,岸,àn,"bank, shore, coast","ฝั่ง, ชายฝั่ง, ตลิ่ง",5,河岸上有许多树。,hé àn shàng yǒu xǔ duō shù.
3551,按摩,àn mó,massage,นวด,5,他每天按摩肩膀。,tā měi tiān àn mó jiān bǎng.
3552,白酒,bái jiǔ,white spirit; Chinese liquor distilled from grains like sorghum,เหล้าขาว; เหล้าจีนกลั่นจากธัญพืช เช่น ข้าวฟ่าง,5,他喜欢喝白酒。,tā xǐ huān hē bái jiǔ.
3553,扮演,bàn yǎn,to play a role; to act as,แสดงบทบาท; เล่นเป็น,5,他在电影中扮演警察。,tā zài diàn yǐng zhōng bàn yǎn jǐng chá.
3554,拜访,bài fǎng,to visit someone formally or respectfully,ไปเยี่ยมเยียน (อย่างเป็นทางการหรือด้วยความเคารพ),5,我明天去拜访老师。,wǒ míng tiān qù bài fǎng lǎo shī.
3555,包装,bāo zhuāng,to package; to wrap; packaging,การบรรจุหีบห่อ; การห่อ; บรรจุภัณฑ์,5,这个礼物的包装很漂亮。,Zhège lǐwù de bāozhuāng hěn piàoliang.
3556,报答,bào dá,"to repay, to return a favor","ตอบแทน, ตอบแทนบุญคุณ",5,我要报答你的帮助。,Wǒ yào bào dá nǐ de bāng zhù.
3557,保卫,bǎo wèi,to defend; to protect; to safeguard,ปกป้อง; คุ้มครอง; ป้องกัน,5,士兵保卫国家。,Shìbīng bǎowèi guójiā.
3558,报警,bào jǐng,to call the police; to report to the police,แจ้งตำรวจ; รายงานให้ตำรวจทราบ,5,他马上报警了。,Tā mǎshàng bào jǐng le.
3559,悲伤,bēi shāng,"sad, sorrowful","เศร้าโศก, เสียใจ",5,他感到非常悲伤。,tā gǎn dào fēi cháng bēi shāng.
3560,悲剧,bēi jù,tragedy,โศกนาฏกรรม,5,这个故事是个悲剧。,Zhè ge gù shi shì ge bēi jù.
3561,抱怨,bào yuàn,to complain; to grumble; to express dissatisfaction,บ่น; ติเตียน; แสดงความไม่พอใจ,5,他经常抱怨工作太累。,tā jīngcháng bào yuàn gōngzuò tài lèi.
